mild_winter = {
	3
	13
	20
	28
	38
	41
	55
	64
	65
	94
	98
}

normal_winter = {
	2
	4
	5
	6
	7
	9
	10
	14
	15
	16
	18
	19
	21
	25
	26
	29
	31
	32
	35
	36
	37
	39
	40
	45
	47
	51
	52
	54
	59
	60
	63
	75
	76
	78
	79
	80
	83
	84
	88
	91
	95
	99
	100
	101
	103
	104
	105
	106
	107
	108
	109
	110
	112
	113
	114
	115
	116
	118
	119
	120
	121
	123
	124
	125
	126
	127
	128
}

severe_winter = {
	1
	8
	11
	12
	17
	22
	23
	24
	27
	30
	33
	34
	42
	43
	44
	48
	49
	50
	57
	58
	61
	62
	66
	67
	68
	70
	71
	72
	73
	74
	77
	81
	82
	85
	86
	87
	89
	90
	92
	93
	96
	97
	102
	111
	117
	122
}

